# labeled dataset : 250
# unlabeled dataset : 49750
# train iteration : 1048576
# test iteration : 156
# create thread : 0
# create thread : 1
# create thread : 2
# create thread : 3
# create thread : 4
# create thread : 5
# create thread : 6
# create thread : 7
[i] step = 100, loss = 2.7684, labeled_loss = 1.4187, unlabeled_loss = 0.0085, l2_reg_loss = 1.3412, accuracy = 11.88, train_time = 188sec
[i] step = 200, loss = 1.9567, labeled_loss = 0.5519, unlabeled_loss = 0.0896, l2_reg_loss = 1.3152, accuracy = 9.86, train_time = 126sec
[i] step = 300, loss = 1.6642, labeled_loss = 0.1751, unlabeled_loss = 0.2005, l2_reg_loss = 1.2886, accuracy = 10.16, train_time = 129sec
[i] step = 400, loss = 1.5848, labeled_loss = 0.0957, unlabeled_loss = 0.2312, l2_reg_loss = 1.2579, accuracy = 10.33, train_time = 123sec
[i] step = 500, loss = 1.5209, labeled_loss = 0.0637, unlabeled_loss = 0.2311, l2_reg_loss = 1.2261, accuracy = 10.34, train_time = 123sec
[i] step = 600, loss = 1.4799, labeled_loss = 0.0567, unlabeled_loss = 0.2282, l2_reg_loss = 1.1949, accuracy = 11.45, train_time = 126sec
[i] step = 700, loss = 1.4239, labeled_loss = 0.0339, unlabeled_loss = 0.2265, l2_reg_loss = 1.1635, accuracy = 29.00, train_time = 125sec
[i] step = 800, loss = 1.3973, labeled_loss = 0.0304, unlabeled_loss = 0.2343, l2_reg_loss = 1.1326, accuracy = 40.16, train_time = 125sec
[i] step = 900, loss = 1.3887, labeled_loss = 0.0405, unlabeled_loss = 0.2455, l2_reg_loss = 1.1026, accuracy = 47.81, train_time = 124sec
[i] step = 1000, loss = 1.3547, labeled_loss = 0.0263, unlabeled_loss = 0.2537, l2_reg_loss = 1.0746, accuracy = 50.73, train_time = 129sec
[i] step = 1100, loss = 1.3394, labeled_loss = 0.0289, unlabeled_loss = 0.2644, l2_reg_loss = 1.0462, accuracy = 57.34, train_time = 127sec
[i] step = 1200, loss = 1.3298, labeled_loss = 0.0405, unlabeled_loss = 0.2693, l2_reg_loss = 1.0200, accuracy = 61.02, train_time = 132sec
[i] step = 1300, loss = 1.2951, labeled_loss = 0.0219, unlabeled_loss = 0.2786, l2_reg_loss = 0.9946, accuracy = 54.86, train_time = 124sec
[i] step = 1400, loss = 1.2699, labeled_loss = 0.0202, unlabeled_loss = 0.2811, l2_reg_loss = 0.9686, accuracy = 62.62, train_time = 126sec
[i] step = 1500, loss = 1.2487, labeled_loss = 0.0215, unlabeled_loss = 0.2835, l2_reg_loss = 0.9436, accuracy = 54.69, train_time = 127sec
[i] step = 1600, loss = 1.2293, labeled_loss = 0.0217, unlabeled_loss = 0.2882, l2_reg_loss = 0.9194, accuracy = 66.41, train_time = 128sec
[i] step = 1700, loss = 1.2076, labeled_loss = 0.0251, unlabeled_loss = 0.2857, l2_reg_loss = 0.8967, accuracy = 67.34, train_time = 127sec
[i] step = 1800, loss = 1.1894, labeled_loss = 0.0186, unlabeled_loss = 0.2970, l2_reg_loss = 0.8738, accuracy = 59.44, train_time = 127sec
[i] step = 1900, loss = 1.1628, labeled_loss = 0.0242, unlabeled_loss = 0.2868, l2_reg_loss = 0.8517, accuracy = 61.66, train_time = 128sec
[i] step = 2000, loss = 1.1373, labeled_loss = 0.0244, unlabeled_loss = 0.2822, l2_reg_loss = 0.8307, accuracy = 65.77, train_time = 133sec
[i] step = 2100, loss = 1.1183, labeled_loss = 0.0237, unlabeled_loss = 0.2839, l2_reg_loss = 0.8107, accuracy = 61.30, train_time = 130sec
[i] step = 2200, loss = 1.0883, labeled_loss = 0.0141, unlabeled_loss = 0.2838, l2_reg_loss = 0.7904, accuracy = 53.70, train_time = 130sec
[i] step = 2300, loss = 1.0654, labeled_loss = 0.0137, unlabeled_loss = 0.2815, l2_reg_loss = 0.7702, accuracy = 57.98, train_time = 131sec
[i] step = 2400, loss = 1.0418, labeled_loss = 0.0164, unlabeled_loss = 0.2746, l2_reg_loss = 0.7508, accuracy = 56.16, train_time = 131sec
[i] step = 2500, loss = 1.0326, labeled_loss = 0.0234, unlabeled_loss = 0.2769, l2_reg_loss = 0.7323, accuracy = 59.86, train_time = 134sec
[i] step = 2600, loss = 1.0018, labeled_loss = 0.0100, unlabeled_loss = 0.2776, l2_reg_loss = 0.7143, accuracy = 47.92, train_time = 131sec
[i] step = 2700, loss = 0.9810, labeled_loss = 0.0119, unlabeled_loss = 0.2729, l2_reg_loss = 0.6962, accuracy = 46.11, train_time = 133sec
[i] step = 2800, loss = 0.9667, labeled_loss = 0.0146, unlabeled_loss = 0.2732, l2_reg_loss = 0.6789, accuracy = 45.34, train_time = 134sec
[i] step = 2900, loss = 0.9553, labeled_loss = 0.0206, unlabeled_loss = 0.2720, l2_reg_loss = 0.6627, accuracy = 47.41, train_time = 131sec
[i] step = 3000, loss = 0.9304, labeled_loss = 0.0102, unlabeled_loss = 0.2734, l2_reg_loss = 0.6467, accuracy = 42.62, train_time = 132sec
[i] step = 3100, loss = 0.9137, labeled_loss = 0.0127, unlabeled_loss = 0.2701, l2_reg_loss = 0.6308, accuracy = 47.64, train_time = 133sec
[i] step = 3200, loss = 0.8818, labeled_loss = 0.0090, unlabeled_loss = 0.2578, l2_reg_loss = 0.6150, accuracy = 47.41, train_time = 129sec
[i] step = 3300, loss = 0.8848, labeled_loss = 0.0161, unlabeled_loss = 0.2689, l2_reg_loss = 0.5998, accuracy = 48.62, train_time = 132sec
[i] step = 3400, loss = 0.8708, labeled_loss = 0.0174, unlabeled_loss = 0.2671, l2_reg_loss = 0.5863, accuracy = 51.62, train_time = 131sec
[i] step = 3500, loss = 0.8529, labeled_loss = 0.0146, unlabeled_loss = 0.2657, l2_reg_loss = 0.5725, accuracy = 48.33, train_time = 132sec
[i] step = 3600, loss = 0.8347, labeled_loss = 0.0157, unlabeled_loss = 0.2595, l2_reg_loss = 0.5595, accuracy = 58.33, train_time = 130sec
[i] step = 3700, loss = 0.8135, labeled_loss = 0.0109, unlabeled_loss = 0.2562, l2_reg_loss = 0.5464, accuracy = 52.55, train_time = 136sec
[i] step = 3800, loss = 0.7937, labeled_loss = 0.0103, unlabeled_loss = 0.2499, l2_reg_loss = 0.5335, accuracy = 49.88, train_time = 135sec
[i] step = 3900, loss = 0.7856, labeled_loss = 0.0108, unlabeled_loss = 0.2539, l2_reg_loss = 0.5209, accuracy = 53.31, train_time = 131sec
[i] step = 4000, loss = 0.7814, labeled_loss = 0.0118, unlabeled_loss = 0.2609, l2_reg_loss = 0.5087, accuracy = 50.67, train_time = 131sec
[i] step = 4100, loss = 0.7682, labeled_loss = 0.0126, unlabeled_loss = 0.2587, l2_reg_loss = 0.4969, accuracy = 49.95, train_time = 132sec
[i] step = 4200, loss = 0.7438, labeled_loss = 0.0092, unlabeled_loss = 0.2486, l2_reg_loss = 0.4859, accuracy = 58.81, train_time = 134sec
[i] step = 4300, loss = 0.7435, labeled_loss = 0.0117, unlabeled_loss = 0.2568, l2_reg_loss = 0.4750, accuracy = 54.14, train_time = 132sec
[i] step = 4400, loss = 0.7328, labeled_loss = 0.0134, unlabeled_loss = 0.2551, l2_reg_loss = 0.4644, accuracy = 54.08, train_time = 131sec
[i] step = 4500, loss = 0.7174, labeled_loss = 0.0110, unlabeled_loss = 0.2519, l2_reg_loss = 0.4545, accuracy = 50.25, train_time = 132sec
[i] step = 4600, loss = 0.7095, labeled_loss = 0.0064, unlabeled_loss = 0.2592, l2_reg_loss = 0.4439, accuracy = 38.67, train_time = 132sec
[i] step = 4700, loss = 0.6874, labeled_loss = 0.0100, unlabeled_loss = 0.2437, l2_reg_loss = 0.4337, accuracy = 43.39, train_time = 130sec
[i] step = 4800, loss = 0.6928, labeled_loss = 0.0118, unlabeled_loss = 0.2567, l2_reg_loss = 0.4242, accuracy = 44.08, train_time = 133sec
[i] step = 4900, loss = 0.6740, labeled_loss = 0.0100, unlabeled_loss = 0.2488, l2_reg_loss = 0.4152, accuracy = 43.25, train_time = 132sec
[i] step = 5000, loss = 0.6655, labeled_loss = 0.0077, unlabeled_loss = 0.2517, l2_reg_loss = 0.4061, accuracy = 42.72, train_time = 130sec
[i] step = 5100, loss = 0.6470, labeled_loss = 0.0095, unlabeled_loss = 0.2402, l2_reg_loss = 0.3973, accuracy = 43.69, train_time = 127sec
[i] step = 5200, loss = 0.6492, labeled_loss = 0.0154, unlabeled_loss = 0.2443, l2_reg_loss = 0.3895, accuracy = 49.95, train_time = 133sec
[i] step = 5300, loss = 0.6403, labeled_loss = 0.0124, unlabeled_loss = 0.2463, l2_reg_loss = 0.3816, accuracy = 46.83, train_time = 130sec
[i] step = 5400, loss = 0.6265, labeled_loss = 0.0102, unlabeled_loss = 0.2426, l2_reg_loss = 0.3737, accuracy = 52.31, train_time = 130sec
[i] step = 5500, loss = 0.6238, labeled_loss = 0.0101, unlabeled_loss = 0.2476, l2_reg_loss = 0.3661, accuracy = 48.17, train_time = 130sec
[i] step = 5600, loss = 0.6217, labeled_loss = 0.0096, unlabeled_loss = 0.2533, l2_reg_loss = 0.3588, accuracy = 47.36, train_time = 131sec
[i] step = 5700, loss = 0.6109, labeled_loss = 0.0142, unlabeled_loss = 0.2450, l2_reg_loss = 0.3517, accuracy = 55.45, train_time = 129sec
[i] step = 5800, loss = 0.5939, labeled_loss = 0.0100, unlabeled_loss = 0.2386, l2_reg_loss = 0.3453, accuracy = 59.59, train_time = 129sec
[i] step = 5900, loss = 0.5953, labeled_loss = 0.0104, unlabeled_loss = 0.2462, l2_reg_loss = 0.3386, accuracy = 50.70, train_time = 131sec
[i] step = 6000, loss = 0.5849, labeled_loss = 0.0122, unlabeled_loss = 0.2408, l2_reg_loss = 0.3320, accuracy = 52.16, train_time = 133sec
[i] step = 6100, loss = 0.5713, labeled_loss = 0.0076, unlabeled_loss = 0.2377, l2_reg_loss = 0.3260, accuracy = 49.11, train_time = 132sec
[i] step = 6200, loss = 0.5703, labeled_loss = 0.0074, unlabeled_loss = 0.2436, l2_reg_loss = 0.3194, accuracy = 48.34, train_time = 132sec
[i] step = 6300, loss = 0.5693, labeled_loss = 0.0198, unlabeled_loss = 0.2355, l2_reg_loss = 0.3140, accuracy = 63.28, train_time = 130sec
[i] step = 6400, loss = 0.5498, labeled_loss = 0.0080, unlabeled_loss = 0.2329, l2_reg_loss = 0.3089, accuracy = 60.09, train_time = 133sec
[i] step = 6500, loss = 0.5431, labeled_loss = 0.0046, unlabeled_loss = 0.2358, l2_reg_loss = 0.3027, accuracy = 61.17, train_time = 131sec
[i] step = 6600, loss = 0.5360, labeled_loss = 0.0068, unlabeled_loss = 0.2327, l2_reg_loss = 0.2965, accuracy = 55.77, train_time = 136sec
[i] step = 6700, loss = 0.5252, labeled_loss = 0.0064, unlabeled_loss = 0.2280, l2_reg_loss = 0.2908, accuracy = 53.59, train_time = 128sec
[i] step = 6800, loss = 0.5364, labeled_loss = 0.0134, unlabeled_loss = 0.2374, l2_reg_loss = 0.2856, accuracy = 54.86, train_time = 130sec
[i] step = 6900, loss = 0.5310, labeled_loss = 0.0177, unlabeled_loss = 0.2313, l2_reg_loss = 0.2820, accuracy = 59.61, train_time = 130sec
[i] step = 7000, loss = 0.5165, labeled_loss = 0.0071, unlabeled_loss = 0.2315, l2_reg_loss = 0.2779, accuracy = 61.53, train_time = 134sec
